SoftwareName,Version,Publisher,InstallPath,InstallDate,LastModifiedDate,AppStartTime,ScanSource,DetectedLicenseType,LicenseName,ConfidenceLevel,IsVerified,EvidenceCount,Notes,PluginId,ScannedAtUtc
"TranslucentTB","2026.1.0.322e2b7","TranslucentTB Open Source Developers","C:\Program Files\WindowsApps\28017CharlesMilette.TranslucentTB_2026.1.0.0_x64__v826wp6bftszj","2026/03/29","2026/03/29 21:41:12 VN Time (UTC+7)","2026/07/16 09:54:36 VN Time (UTC+7)","DeepFileSystem (RAM: TranslucentTB.exe | Original: TranslucentTB.exe)","OpenSource","MIT License (TranslucentTB Open Source)","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"NGENUITY","2.38.0.0","Hewlett-Packard Development Company, L.P.","C:\Program Files\WindowsApps\33C30B79.HyperXNGenuity_5.38.0.0_x64__0a78dr3hq0pvt\Assets\Native","2026/07/02","2026/07/03 02:00:38 VN Time (UTC+7)","2026/07/16 09:54:37 VN Time (UTC+7)","DeepFileSystem (RAM: NGenuity2Helper.exe | Original: NGenuity2Helper.exe)","Freeware","Hardware Companion / OEM Bundled Software License","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Xbox App","2606.1001.29.0","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.GamingApp_2606.1001.29.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 02:12:05 VN Time (UTC+7)","2026/07/16 09:54:40 VN Time (UTC+7)","DeepFileSystem (RAM: XboxPcAppFT.exe | Original: XboxPcAppFT.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Widgets Platform Runtime","0.5","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService","2026/07/02","2026/07/03 01:55:57 VN Time (UTC+7)","2026/07/16 09:54:47 VN Time (UTC+7)","DeepFileSystem (RAM: WidgetService.exe | Original: WidgetService.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"UniKey","4.3 RC4","unikey.org","C:\Users\admin\OneDrive\Documents","2025/12/02","2023/02/17 20:54:31 VN Time (UTC+7)","2026/07/16 09:55:43 VN Time (UTC+7)","DeepFileSystem (RAM: UniKeyNT.exe | Original: UniKeyNT.exe)","OpenSource","GPL / Apache Open Source License","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Phone Link","1.26052.144+70e2cda0efe805c62b60ad38215e8b1bd41d32ae","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26052.144.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 02:17:39 VN Time (UTC+7)","2026/07/16 09:56:20 VN Time (UTC+7)","DeepFileSystem (RAM: PhoneExperienceHost.exe | Original: PhoneExperienceHost.dll)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft 365 Copilot","19.2606.58031.0","Microsoft Corporation","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2606.58031.0_x64__8wekyb3d8bbwe","2026/07/02","2026/07/03 02:14:38 VN Time (UTC+7)","2026/07/16 12:37:03 VN Time (UTC+7)","DeepFileSystem (RAM: M365Copilot.exe | Original: M365Copilot.exe)","Commercial","Microsoft 365 Commercial Copilot Subscription","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Codex","149.0.7827.197","OpenAI OpCo, LLC","C:\Program Files\WindowsApps\OpenAI.Codex_26.623.11225.0_x64__2p2nqsd0c76g0\app","2026/07/02","2026/07/03 02:21:37 VN Time (UTC+7)","2026/07/16 12:43:55 VN Time (UTC+7)","DeepFileSystem (RAM: Codex.exe | Original: chrome.exe)","Unknown","Unknown License","None","False",0,"No verification plugin claimed checking capability for this software package.","core.unknown","2026/07/16 16:43:32 VN Time (UTC+7)"
"Antigravity IDE","2.1.1","Google LLC","C:\Users\admin\AppData\Local\Programs\Antigravity IDE","2026/06/29","2026/06/17 23:22:16 VN Time (UTC+7)","2026/07/16 13:04:17 VN Time (UTC+7)","DeepFileSystem (RAM: Antigravity IDE.exe | Original: Antigravity IDE.exe)","Freeware","Freeware / Browser Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft OneDrive Sync Service","26.113.0614.0004","Microsoft Corporation","C:\Program Files\Microsoft OneDrive\26.113.0614.0004","2026/07/11","2026/07/11 12:08:24 VN Time (UTC+7)","2026/07/16 14:14:57 VN Time (UTC+7)","DeepFileSystem (RAM: OneDrive.Sync.Service.exe | Original: OneDrive.Sync.Service.exe)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
