SoftwareName,Version,Publisher,InstallPath,InstallDate,LastModifiedDate,AppStartTime,ScanSource,DetectedLicenseType,LicenseName,ConfidenceLevel,IsVerified,EvidenceCount,Notes,PluginId,ScannedAtUtc
"Microsoft XNA Framework Redistributable 4.0 Refresh","4.0.30901.0","Microsoft Corporation","","2026/05/20","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"UltraViewer phiên bản 6.6.124","6.6.124","DucFabulous","C:\UltraViewer\","2026/03/19","2025/02/10 14:54:18 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","2026/03/06","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft ASP.NET Core 8.0.28 - Shared Framework (x86)","8.0.28.26269","Microsoft Corporation","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Aura Wallpaper HTML","2.2.3.0","ASUSTek Computer Inc.","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Browser for SQL Server 2022","16.0.1000.6","Microsoft Corporation","","2026/05/16","","","WindowsRegistryScanner (LocalMachine/Registry32)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"OP.GG 2.5.1","2.5.1","OP.GG","","","","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"DBeaver 26.1.2 (current user)","26.1.2","DBeaver Corp","","","","","WindowsRegistryScanner (CurrentUser/Default)","OpenSource","GPL / Apache Open Source License","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Discord","1.0.9247","Discord Inc.","C:\Users\admin\AppData\Local\Discord","2026/48/16","2026/05/11 09:46:10 UTC","2026/07/16 09:52:50 VN Time (UTC+7)","WindowsRegistryScanner (CurrentUser/Default) + DeepFileSystem (RAM: Discord.exe | Original: Discord.exe)","Freeware","Freeware / Community Client EULA","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Zalo 26.06.11","26.06.11","VNG Corp.","","2026/06/16","","","WindowsRegistryScanner (CurrentUser/Default)","Freeware","Freeware / Community Client EULA","Medium","False",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Figma","126.2.9","Figma, Inc.","C:\Users\admin\AppData\Local\Figma","2026/03/24","2026/03/24 08:34:38 UTC","","WindowsRegistryScanner (CurrentUser/Default)","Commercial","Figma Commercial Organization / Enterprise License","Medium","False",1,"Identified Figma desktop client tied to cloud organization seat management.","std.figma.design","2026/07/16 16:43:32 VN Time (UTC+7)"
"Figma Agent","126.6.10","Figma, Inc.","","","","","WindowsRegistryScanner (CurrentUser/Default)","Commercial","Figma Commercial Organization / Enterprise License","Medium","False",1,"Identified Figma desktop client tied to cloud organization seat management.","std.figma.design","2026/07/16 16:43:32 VN Time (UTC+7)"
